;Nom ou raison sociale;URL;Type;"Sphere 
d'appartenance";Statut;Qualit_s / missions;Degr_ et forme de l_gitimit_;"Interet / financement
liens d'influence";"Ressources /
moyens mobilisables";"Liens avec d'autres
acteurs";Position;Strategie;Justifications;Poids;Evenements
Science&Technos;Renaissance numerique;http://www.renaissancenumerique.org/;Think Tank;Varie (universitaires, start ups, groupes, ...);Association;accompagnement de lêaction publique dans sa transition numerique et son objectif dêune societe numerique inclusive, equitable et vecteur de croissance.;Soutenu par de nombreux experts (exemple : Henri Isaac, president de Renaissance numerique et vice-president de l'universite Paris Dauphine)                Association loi 1901 š but non lucratif et non partisane;Cotisations des adherents. Celles-ci sont fonction du chiffre dêaffaire des entreprises pour un montant compris entre 200 et 10 000 Euros. Aucune cotisation n'excede 8,5% du budget annuel (en 2015 : 117 000 euros de budget). Certains projets font appel š dêautres financements comme par exemple, le projet Seriously dont le financement comporte un quart de financements public en 2016).;Ateliers de reflexion creative, publication de rapports recensant des idees citoyennes et du think tank;;"- il est possible de faire une mise š jour de la democratie sans la ""rebooter""                                                                                                            -Propose des mesures concretes techniques ou humaines permettant d'ameliorer la democratie";Donner la parole aux citoyens et s'assurer de la faisabilite/l'efficacite des moyens techniques mis en oeuvre;Exemples d'initiatives qui fonctionnent, d'etudes scientifiques et articles de presse scientifique qui sont revelatrices des difficultes/solutions ;Virtuellement aucun, mais compte sur l'expertise reconnue de ses membres et le nombre croissant de citoyens adherents;Ateliers de reflexion, lancement de projets (exemple : Seriously, la plateforme qui aide š lutter contre la propagation des propos haineux sur le web)
;Commission nationale du debat public;https://www.debatpublic.fr/;Commission;Public;Autorite publique independante;informer les citoyens et de faire en sorte que leur point de vue soit pris en compte dans le processus de decision;Independance;Etat;Realisation d'etudes, organisation de debats;;"Etude ""Le citoyen et la decision
publique"" commandee š TNS Sofres : 96% des Franeais jugent important que les pouvoirs publics tiennent davantage compte de lêavis des citoyens mais 49% sont opposes š l'utilisation d'Internet pour y parvenir";;Avec Internet et les reseaux sociaux, ce n'est pas parce qu'on va s'exprimer davantage que l'avis du citoyen sera pris en compte. Il n'y a pas d'automatisme. La parole du citoyen n'est pas davantage entendue qu'avant et pourtant les canaux qui permettent cette expression existent.;;
;Open Fisca;https://www.openfisca.fr/;Moteur ouvert de micro-simulation du systeme socio-fiscal;Tout le monde car logiciel open source;Moteur open-source;Plus de transparence vis š vis des prestations sociales et imp»ts;Open-source (code accessible š tous);Benevole et ouvert;Creation de logiciels, d'APIs, etc;;- Si les citoyens peuvent comprendre combien coete une embauche, combien les prestations sociales representent elles vraiment, etc,  ils seront plus apte š prendre en compte toutes les facettes de la population dans leur ideal de societe                                                                     - De plus en calculant l'impact des reformes budgetaires proposees par un tel ou tel candidat ils s'impliqueront mieux dans l'elaboration des reformes budgetaires;Rendre le plus de prestations fiscales le plus transparent possible;Pas de justification necessaire -> accessibilite des donnees;Informations aupres de nombreux citoyens;Nombreux lancements de logiciels et APIs
;Debates Core;http://www.vie-publique.fr/forums/debatescore/debatescore-3.html;Norme;Administration franeaise;Norme;Etablir un standard de description des debats publics;Approuve par l'adiministration franeaise;Administration franeaise;Web des donnees, open data;;- Il faut legitimer le debat public quel qu'il soit des lors qu'il repond aux criteres de la norme                                                                     - Il faut mieux partager l'information  qui ressort de ces debats                                                                        - Enfin il faut assurer la transparence du contenu des debats;Creation d'une norme et d'une plateforme numerique;L'open data permet tout ea;Apport du label Debates Core -> gain en legitimite du debat;
;Etalab;https://www.etalab.gouv.fr;"Coordinateur au sein de 
l'etat";Administration;"Organisation
gouvernementale";"Ouverture et partage de
donnees publiques";"Organisation pilotee par le premier
Ministre
Au sein du secreteriat general pour l'action
publique";"Fond institue par la loi des
finances
Financement PIA
(programme d'investissement
d'avenir)";"Soutien du premier ministre
Directive ministerielle
Beneficie de fond d'investissement
de l'etat";Lien avec l'Etat;Modernisation de l'action publique;"Coordination de la politique d'ouverture et de partage des donnees
publiques
Soutien des politiques de gouvernements ouverts et de 
transparence
Plusieurs sites: datagouv,
openfisca
Partenariat avec open.gouv";;"Organisation au sein
de l'etat
Reseau d'expert important
";"Missions fixees par decret en
2015"
Droit;Conseil Constitutionnel;http://www.conseil-constitutionnel.fr/;Institution;Administration franeaise;Institution; Se prononce sur la conformite š la constitution des lois;Ses decision s'imposent š toutes autorites administratives et juridictionnelles;Administration franeaise;Determine elle meme les credits necessaires š son fonctionnement/ 55 employes;;Ne se prononcera que lorsqu'il sera question d'examiner la conformite de reformes avec la constitution;;;;
;Cour de Cassation;https://www.courdecassation.fr/;Institution;Administration franeaise;Institution;Fait respecter le droit administratif;Plus haute instance juridique franeaise;Administration franeaise;Determine elle meme les credits necessaires š son fonctionnement/6 tribunaux differents;Lien avec le conseil d'etat;Ne se prononcera que lorsqu'il sera question d'examiner la conformite de reformes avec d'autres lois dejš existantes et/ou si il devient necessaires d'en annuler ou reformer;;;;
;Conseil D'etat;http://www.conseil-etat.fr/;Institution;Administration franeaise;Institution;Juridiction administrative;Plus haute instance de l'ordre administratif+ conseille l'etat dans ses projets de lois;Administration franeaise;Determine elle meme les credits necessaires š son fonctionnement/ membres exclusifs mais aussi premier ministre et ministre de la justice;Lien avec la cour de cassation;Peut suggerer l'examen de reforme du droit de vote : aucune position adoptee pour l'instant;;;;
;Secretariat d'etat š la reforme et š la simplification de l'etat ;gouvernement.fr;Secretariat ;Administration franeaise ;Administration ;Simplifier et transformer l'etat ;Dependant du gouvernement ;Administration franeaise ;;Dependant du premier ministre ;Mise en place des reformes ;;;;
;Commission europeenne ;https://ec.europa.eu/commission/index_fr;Institution ;Union europeenne ;Institution ;Proposer et mettre en “uvre la politique communautaire, gardienne des traites (pouvoir executif,legislatif et judiciaire);Une des quatres principales institution europeenne ;UE;;Parlement europeen ;Pas de position pour le moment;;;;
Societe Civile;Democratie Ouverte et Parlement et Citoyen ;http://democratieouverte.org/  https://www.parlement-et-citoyens.fr/;Associations;Politique et civile;Militant;"Ameliorer le fonctionnement politique de nos societes en concevant et en experimentant de nouveaux outils et methodes. Parlement & Citoyens permet aux citoyens et aux parlementaires
de rechercher ensemble les solutions aux problemes de notre pays";"Association creee en 2012 Partenariats avec des organisations politiques Creation precedee d'une conference de presse š
l'assemblee ";Dons et cotisations;#NOM?;personnalites politiques ;"-Renforcer la confiance des citoyens envers les acteurs politiques š l'aide de la plateforme                                                                            -Renforcer la legitimite des lois produites
Les Civic Tech doivent se structurer pour avoir un 
impact plus important.
Il faut creer un lien entre la demande des citoyens et le
foisonnement d'idees et de start-up qui proposent
les outils adequates.";chaque parlementaire presente le probleme qu'il souhaite resoudre et ensuite les idees sont debattues avec les citoyens;"remedier š la triple crise que traverse aujourd'hui la democratie representative franeaise : crise d'efficacite des politiques publiques, crise de legitimite des lois produites, et crise de confiance des citoyens envers les acteurs politiques.
";;"Lancement d'un incubateur
pour civic tech en 2016"
