"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"7MHQJU78","webpage","","","Citoyen hackeur","","","","","http://www.laviedesidees.fr/Citoyen-hackeur.html","Pour accroître la participation citoyenne et la réactivité politique, de nouvelles civic tech revendiquent aujourd'hui de « hacker » la démocratie. Au (...)","","2017-05-13 16:47:18","2017-05-13 16:47:18","2017-05-10 08:06:34","","","","","","","","","","","","","","","","","","","","","","","/Users/camilleruppli/Library/Application Support/Zotero/Profiles/bce4a9hx.default/zotero/storage/QACVRVSC/Citoyen hackeur.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3RIF8FXS","journalArticle","2016","","Comment le numérique change la politique","Le Monde.fr","","","","http://nouveau.europresse.com/Link/TELECOMT_1/news·20161222·LMF·5053079","","2016-12-22","2017-05-13 16:47:18","2017-05-13 16:47:18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4KZHISAG","webpage","","Center for History and New Media","Guide rapide pour débuter","","","","","http://zotero.org/support/quick_start_guide","","","2017-05-13 16:47:18","2017-05-13 16:47:18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WTF687E3","blogPost","2016","Chaput, Valentin","La civic-tech française risque de se détourner de la création des biens communs numériques","Medium","","","","https://medium.com/open-source-politics/la-civic-tech-fran%C3%A7aise-risque-de-se-d%C3%A9tourner-de-la-cr%C3%A9ation-des-biens-communs-num%C3%A9riques-dont-9ebcf5c55c2e#.mara24q2h","#civictech #OGP16 — lancement du rapport de point d’aencrage","2016-12-06","2017-05-13 16:47:18","2017-05-13 16:47:18","2017-05-10 09:07:53","","","","","","","","","","","","","","","","","","","","","","","/Users/camilleruppli/Library/Application Support/Zotero/Profiles/bce4a9hx.default/zotero/storage/VSM6G34W/Chaput - 2016 - La civic-tech française risque de se détourner de .html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"P34ZB3EX","blogPost","","","L'ADN de #MAVOIX","#MAVOIX","","","","https://www.mavoix.info/comprendre/qui-sommes-nous/","L'ADN de #MAVOIX","","2017-05-13 16:47:18","2017-05-13 16:47:18","2017-05-10 09:01:22","","","","","","","","","","","","","","","","","","","","","","","/Users/camilleruppli/Library/Application Support/Zotero/Profiles/bce4a9hx.default/zotero/storage/9Z2CKDEU/L'ADN de #MAVOIX.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7HHFIFHN","webpage","","","Regards Citoyens","RegardsCitoyens.org","","","","http://www.RegardsCitoyens.org","Transparence de la vie politique et Open Data","","2017-05-13 16:47:18","2017-05-29 11:59:23","2017-05-10 09:11:15","","","","","","","","","","","","","","","","","","","","","","","/Users/camilleruppli/Library/Application Support/Zotero/Profiles/bce4a9hx.default/zotero/storage/5PM6TAVQ/Regards Citoyens.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"A93XPEW4","journalArticle","2016","Merchier, Maurice","Vers la transdémocratie ?","Le Débat","","0246-2346","","http://www.cairn.info/resume.php?ID_ARTICLE=DEBA_192_0055","","2016-12-05","2017-05-13 16:47:18","2017-05-13 16:47:18","2017-05-09 15:11:25","55-66","","192","","","","","","","","","","","fr","","","","","Cairn.info","","","","/Users/camilleruppli/Library/Application Support/Zotero/Profiles/bce4a9hx.default/zotero/storage/P3WBBDGB/Merchier - 2016 - Vers la transdémocratie .html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZGDTWJN6","book","","","Axelle Lemaire","","","","","http://nouveau.europresse.com/Link/TELECOMT_1/bio·SEP·140710","","","2017-05-23 06:49:09","2017-05-23 06:49:09","","","","","","","","","","","","","Acteurs Publics - Biographies","","","","","","","","","","","/Users/camilleruppli/Library/Application Support/Zotero/Profiles/bce4a9hx.default/zotero/storage/F4EUFAWV/Axelle Lemaire.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FGFDQMRZ","journalArticle","2017","","Civic Tech : « Après l'économie collaborative, voici la politique collaborative ! »","Le Monde.fr","","","","http://nouveau.europresse.com/Link/TELECOMT_1/news·20170421·LMF·5115043","","2017-04-21","2017-05-23 06:49:09","2017-05-23 06:49:09","","","","","","","","Civic Tech","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6F6MQSUU","journalArticle","2016","","La créativité démocratique et citoyenne au-delà de l'isoloir","Le Monde.fr","","","","http://nouveau.europresse.com/Link/TELECOMT_1/news·20161206·LMF·5044451","","2016-12-06","2017-05-23 06:49:09","2017-05-23 06:49:09","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
