Pôle,Acteur,Type
Moyens d'analyse de démocratie et des lois, La fabrique de la loi,Gov-tech
Moyens d'analyse de démocratie et des lois,nosdeputes.fr,Gov-tech
Moyens d'analyse de démocratie et des lois,nossenateurs.fr,Gov-tech
Débats entre les citoyens et les élus,Debates Core,Gov-tech
Débats entre les citoyens et les élus,Questionnezvoselus-Questionnezvoscandidats,Gov-tech
Débats entre les citoyens et les élus,Stig,Gov-tech
Débats entre les citoyens et les élus,PolitizR,Gov-tech
Médias sur internet - Décryptage,Accropolis,Gov-tech
Médias sur internet - Décryptage,AgoraLabTV,Gov-tech
Médias sur internet - Décryptage,La Drenche,Gov-tech
Médias sur internet - Décryptage,Point d'aencrage,Gov-tech
Organismes de fact-checking,Voxe,Gov-tech
Organismes de fact-checking,Content Check,Gov-tech
Organismes de fact-checking,Vérité Politique,Gov-tech
Organismes de fact-checking,Parlement et Citoyen,Gov-tech
Organismes de fact-checking,Regards citoyens,Gov-tech
Echanges citoyens,Kawaa,
Echanges citoyens,Communecter,
Démocratie participative,Engage
Démocratie participative,Change.org,
Transformations sociétales,CitizenLab,
Transformations sociétales,Citizen Clan,
Elections de citoyens dans les institutions,Nous Citoyens,Pol-tech
Elections de citoyens dans les institutions,Laprimaire.org,Pol-tech
Elections de citoyens dans les institutions,#MaVoix,Pol-tech
Starts-up de campagnes électorales,LMP,
Starts-up de campagnes électorales,Quorum,
Starts-up de campagnes électorales,Renaissance Numérique,
Transparence des données,Integrity Watch,Gov-tech
Transparence des données,Open Fisca,Gov-tech
Transparence des données,Etalab,Gov-tech
Transparence des données,OpenGouv,Gov-tech
Transparence des données,Data.gouv,Gov-tech
Transparence des données,Qualiscore,Gov-tech
