Pole;Acteurs
Moyens d'analyse de d_mocratie et des lois;la fabrique de la loi
;nosdeputes.fr
;nossenateurs.fr
Debats entre les citoyens et les elus;Debates core
;Questionnez vos elus
;Stig
;PolitizR
Medias sur internet, decryptage;Acropolis
;AgoralabTV
;La Drenche
;Point d'aencrage
Organismes de fact-checking;voxe.org
;Content Check
;Verite politique
;Parlements et citoyens
;Regards cityoens
Echanges citoyens;Kawaa
;Communecter
Democratie participative;Engage
;Change.org
Transformations soci_tales;CitizenLab
;Citizen Clan
Elections de citoyens dans les institutions;Nouscitoyens
;Batzille
;Laprimaire.org
;#MaVoix
Start-ups campagnes electorales;LMP
;Quorum
;Renaissance numerique
Transparence des donnees;Integrity Watch
;Openfisca
;Etalab
;OpenGouv
;DataGouv
;Qualiscore
